code,pop,cases,location,new_cases,duration,pop_rel,dur_rel
15700,19861,3,"152.76886867968702,-30.68751749147799",0.0,23779.5,0.046040613843942695,0.07281784750296771
18020,9209,2,"149.40470890698666,-31.461387790370384",0.0,23778.2,0.021347767629468217,0.07282287792529962
14870,21516,7,"150.17909465312513,-33.277332566687605",1.0,12482.6,0.04987713848578979,0.13211951517122655
12390,54044,8,"148.85385023327424,-32.42406261858918",1.0,19317.2,0.12528165422597246,0.09194084408121517
14850,43667,6,"153.27059612238435,-28.756033600388346",1.0,34657.0,0.10122629700032454,0.03815855191160922
14350,29921,4,"152.64438320614647,-30.951435853061295",1.0,21232.1,0.06936112012610691,0.08324387693216206
17750,65770,19,"147.36554149295995,-35.196523658119574",6.0,19624.6,0.15246418470953685,0.0904881345006473
17000,23380,5,"150.96550721721314,-32.66020800503989",1.0,12918.0,0.05419815475914507,0.12896473626150828
11400,13677,5,"148.75383268309142,-33.1525926811698",0.0,16206.8,0.0317052250915666,0.10809520728045419
12160,11225,2,"148.09383137554534,-34.85244434951401",0.0,15551.3,0.026021141453011265,0.11189414179864188
13450,27155,3,"146.00354422602518,-34.30034467085488",0.0,26513.3,0.06294913996940053,0.06280468749361279
12870,12598,7,"146.27135296134614,-35.49582391427449",0.0,25095.7,0.029203950113588947,0.06786083178384139
15850,6460,1,"148.06542925564403,-32.225789291117984",1.0,25076.4,0.014975195882980203,0.06793162261147512
18400,54005,16,"150.44367772267853,-34.10192338084141",15.0,6031.6,0.12519124669664797,0.1990431435164336
17620,14167,3,"150.72741530222663,-31.9698013440421",0.0,15479.6,0.032841114562566644,0.11231935574020735
18100,3596,1,"148.0110918348152,-33.872001177241934",0.0,20270.8,0.00833603783207381,0.08750712024769447
17040,20997,11,"148.95921173441297,-36.39485921042826",0.0,19343.3,0.048674022903240764,0.09181660591130292
13340,10841,3,"147.171973471523,-35.75053219250594",0.0,20662.4,0.025130975010431638,0.08574651426122826
13010,8873,3,"151.9030034708038,-29.64485217839121",1.0,30125.8,0.020568871992211045,0.05105129071869141
